"quad","year","OBJECTID","species","seedling","stem","x","y"
"Q1",32,1,"Phlox longifolia","N","N",0.963531051212947,0.848069785480415
"Q1",32,2,"unknown","N","N",0.785526316672168,0.798156707308929
"Q1",32,3,"unknown","N","N",0.880192465197832,0.551047285203791
"Q1",32,4,"Phlox longifolia","N","N",0.209258886447976,0.98029478560356
"Q1",32,5,"Chrysothamnus viscidiflorus","N","N",0.13869707388226,0.989426621549565
"Q1",32,6,"Phlox longifolia","N","N",0.849421387044173,0.406244785068934
"Q1",32,7,"Phlox longifolia","N","N",0.924713590239295,0.3198792849885
"Q1",32,8,"Phlox longifolia","N","N",0.856904347988643,0.078194167575913
"Q1",32,9,"Phlox longifolia","N","N",0.901191519904889,0.110226331668245
"Q1",32,10,"Phlox longifolia","N","N",0.948156137136128,0.053867003490756
"Q1",32,11,"Phlox longifolia","N","N",0.533827472687753,0.008924784698901
"Q1",32,12,"Phlox longifolia","N","N",0.284212472455283,0.112124784795014
"Q1",32,13,"Phlox longifolia","N","N",0.819562465141366,0.347227285013969
"Q1",32,14,"Chrysothamnus viscidiflorus","N","N",0.900103340216375,0.511085324229074
"Q1",32,15,"Phlox longifolia","N","N",0.200173550502014,0.955139785580132
"Q1",32,16,"unknown","N","N",0.364058886592145,0.993194785615573
"Q1",32,17,"Phlox hoodii","N","N",0.334110539592584,0.204795126304903
"Q1",33,1,"Phlox longifolia","N","N",0.028382480029522,0.687790168143644
"Q1",33,2,"Phlox longifolia","N","N",0.114663675422377,0.605042863379079
"Q1",33,3,"Phlox longifolia","N","N",0.268257675565423,0.970967340282372
"Q1",33,4,"Astragalus lentiginosus","N","N",0.085070730082317,0.3253562849936
"Q1",33,5,"Phlox longifolia","N","N",0.563384386777781,0.019673011271411
"Q1",33,6,"Phlox longifolia","N","N",0.897769863651702,0.089882862899299
"Q1",33,7,"Phlox longifolia","N","N",0.944698238695408,0.100024964471245
