"paddock","yearRange","timing","springRates","fallRates"
1,"23 – 29","Fall","NA",61.8
1,"30 – 35","Fall","NA",40
1,"36 – 40","Fall","NA",38.2
1,"41 – 49","Fall","NA",30.6
1,"50 – 96","Fall","NA",60
2,"23 – 29","Fall","NA",61.8
2,"30 – 35","Fall","NA",40
2,"36 – 40","Fall","NA",38.2
2,"41 – 49","Fall","NA",30.6
2,"50 – 96","Spring",40,"NA"
3,"23 – 29","Fall","NA",61.8
3,"30 – 35","Fall","NA",40
3,"36 – 40","Fall","NA",38.2
3,"41 – 49","Exclosure","NA","NA"
3,"50 – 96","Exclosure","NA","NA"
4,"23 – 29","Spring & Fall",34,13
4,"30 – 35","Spring & Fall",17,6.8
4,"36 – 40","Spring & Fall",9.6,8
4,"41 – 49","Spring & Fall",14,11
4,"50 – 96","Spring",40,"NA"
5,"23 – 29","Spring & Fall",34,13
5,"30 – 35","Spring & Fall",17,6.8
5,"36 – 40","Spring & Fall",9.6,8
5,"41 – 49","Spring & Fall",14,11
5,"50 – 96","Fall","NA",60
