"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"
1924,19.47,28.5,28.72,42.43,61.05,67.06,68.37,67.14,45.11,43.61,30.13,14.79,"NA"
1925,21.48,29.05,32.48,43.88,55.19,56.55,67.73,63.26,55.35,44.48,31.93,26.71,"NA"
1926,19.47,28.68,35.58,49.18,52.81,62.16,65.52,62.65,47.18,45.79,34.9,21.66,"NA"
1927,20.51,23.89,30.81,41.23,47.87,61.08,69.1,64.43,55.47,47,36.45,17.7,"NA"
1928,23.08,24.74,35.35,39.78,57.02,56.3,69.41,64.68,56.6,37.32,31.72,18.6,"NA"
1929,11.96,14.96,26.5,31.55,46.79,55.88,66.98,66.71,49.18,42.74,24.1,25.53,"NA"
1930,11.1,28.67,31.98,49.87,52.08,59.9,72.24,67.85,57.2,42.91,28.65,16.95,"NA"
1931,20.4,24.2,27.2,43.3,56.9,64.8,73.3,68.8,57.9,46.8,27.8,20,"NA"
1932,11.8,18.7,24,40.2,52,59,66.6,66.9,59.2,41.7,33.5,13.4,"NA"
1933,17,9.6,28.8,40.3,47,65.4,72.9,67,56.6,49.8,34,28.1,"NA"
1934,26.6,34.2,44.8,52.2,60.8,60.8,72.5,71.6,53.9,50,36.8,22.9,"NA"
1935,22.4,24.1,27.7,39.9,49.2,61.6,70,68.3,61.2,45.9,25,23.7,"NA"
1936,18.5,17.7,27.2,42.9,57.6,62.8,71.8,67.4,56.4,47,31.4,23.6,"NA"
1937,3,16.6,27.7,39,55.4,58,69.8,67.2,59.8,48.2,32.5,24.4,"NA"
1938,20.6,23.4,28.1,40.8,49.2,60.6,65.5,65.2,63.2,46.1,24.6,23.9,"NA"
1939,18.8,13.2,31,45,54.3,56.2,69.8,68.2,57.6,44.4,38,28.3,"NA"
1940,20.3,24.8,33,43.2,55.6,64.4,70.2,70.6,57.3,47.6,27.8,25.2,"NA"
1941,22.5,26,33,42.4,51.8,57.8,68.3,64.6,50.2,43.5,33.2,25.6,"NA"
1942,18.6,16.3,25.2,43.9,46.6,56.8,71,68.6,57.8,45.6,30.3,21,"NA"
1943,16.2,22.3,22.9,47.8,48.6,55.2,68.9,67.2,61.2,48.3,34.4,26.4,"NA"
1944,17.5,21.8,23.4,41,52.4,54.7,64.8,64.6,57.4,51,27.4,20,"NA"
1945,20.3,"NA",26.2,36.4,50.4,53.4,69,66.3,52.8,48.2,28,18.5,"NA"
1946,16.4,18.6,30.2,46.2,50.4,60.4,70.1,69.2,56.9,38,30.8,27,"NA"
1947,13.9,25.2,35.8,41.3,55.4,55.6,70.4,67,58.2,49,25.9,22,"NA"
1948,19.2,22.6,25.4,41.4,51.8,62,67.8,66.8,59.2,47.6,25.5,15.2,"NA"
1949,7,16.5,32.5,48,54.1,59,69.1,70.2,59.8,39.2,38.1,19.5,"NA"
1950,12.6,23.4,27.3,40.6,48,58.2,66.1,66.1,56,48.5,33.8,27.5,"NA"
1951,16.1,23,24,43.7,52.6,55.2,69.2,64,57.4,42,29.1,15.4,"NA"
1952,15.2,16.1,22.3,40.9,53.3,60.7,66,67.3,61.1,50.2,25.7,22.4,"NA"
1953,27.2,22.1,31,38.4,46.4,56.9,71.6,67.9,61.4,49.4,37.3,19.9,"NA"
1954,22.4,30.2,28.8,44.4,54,56.6,71.6,65.9,58.4,44.7,38,21.2,"NA"
1955,12.2,15.9,20.1,36.2,50.3,57.6,67.3,69.8,58,46.3,26.1,24,"NA"
1956,24.7,14.5,27.8,44.1,54.4,62.7,70.2,65.6,58.1,44.3,27.7,22,"NA"
