"species","density","cover","growthForm"
"Achillea millefolium",3,"NA","forb"
"Achnatherum hymenoides","NA",1828,"grass"
"Aconitum spp.",1,"NA","forb"
"Agoseris spp.",28,"NA","forb"
"Agoseris taraxacifolia",1344,"NA","forb"
"Allium acuminatum",56,"NA","forb"
"Allium spp.",13,"NA","forb"
"Allium textile",38,"NA","forb"
"Antennaria rosea","NA",6,"forb"
"Antennaria spp.","NA",807,"forb"
"Arabis holboellii",936,"NA","forb"
"Arnica amplexicaulis",2,"NA","forb"
"Arnica cordifolia",1,"NA","forb"
"Arnica fulgens",4637,"NA","forb"
"Artemisia tripartita",2684,2134,"shrub"
"Aster spp.",179,"NA","forb"
"Astragalus convallarius",461,"NA","forb"
"Astragalus filipes",126,"NA","forb"
"Astragalus lentiginosus",613,"NA","forb"
"Astragalus miser",44,"NA","forb"
"Astragalus purshii",26,"NA","forb"
"Astragalus spp.",481,"NA","forb"
"Balsamorhiza sagittata",2176,"NA","forb"
"Calochortus macrocarpus",123,"NA","forb"
"Calochortus nuttallii",1,"NA","forb"
"Carex douglasii","NA",3391,"grass"
"Carex spp.","NA",47,"grass"
"Castilleja angustifolia",100,"NA","forb"
"Chaenactis douglasii",2,"NA","forb"
"Chaetopappa ericoides",4,"NA","forb"
"Chrysothamnus viscidiflorus",656,845,"shrub"
"Cirsium undulatum",7,"NA","forb"
"Comandra umbellata",888,"NA","forb"
"Crepis acuminata",3777,"NA","forb"
"Elymus albicans","NA",5298,"grass"
"Elymus elymoides","NA",63,"grass"
"Elymus trachycaulus","NA",1,"grass"
"Ericameria nana",1,"NA","shrub"
"Erigeron concinnus",25,"NA","shrub"
"Erigeron corymbosus",5212,"NA","forb"
"Erigeron eatonii",140,"NA","forb"
"Erigeron engelmannii",765,"NA","forb"
"Erigeron filifolius",21,"NA","forb"
"Erigeron pumilus",18,"NA","forb"
"Erigeron spp.",16,"NA","forb"
"Eriogonum heracleoides",67,"NA","forb"
"Eriogonum longifolium",1,"NA","forb"
"Eriogonum microthecum",411,215,"shrub"
"Eriogonum ovalifolium",103,"NA","forb"
"Eriogonum spp.",9,"NA","forb"
"Fritillaria atropurpurea",19,"NA","forb"
"Fritillaria pudica",1,"NA","forb"
"Gutierrezia sarothrae",546,265,"shrub"
"Hackelia floribunda",2,"NA","forb"
"Hackelia patens",6,"NA","forb"
"Hesperostipa comata","NA",10935,"grass"
"Hordeum jubatum","NA",13,"grass"
"Ionactis alpina",1,"NA","forb"
"Ipomopsis aggregata",4,"NA","forb"
"Koeleria macrantha","NA",5987,"grass"
"Lesquerella spp.",1,"NA","forb"
"Linanthus pungens",1172,767,"shrub"
"Lithospermum ruderale",2,"NA","forb"
"Lomatium foeniculaceum",93,"NA","forb"
"Lomatium spp.",152,"NA","forb"
"Lomatium triternatum",482,"NA","forb"
"Lupinus caudatus",191,"NA","forb"
"Machaeranthera canescens",25,"NA","forb"
"Machaeranthera spp.",18,"NA","forb"
"Oenothera caespitosa",14,"NA","forb"
"Opuntia polyacantha",28,"NA","shrub"
"Penstemon radicosus",131,"NA","forb"
"Penstemon speciosus",229,"NA","forb"
"Penstemon spp.",11,"NA","forb"
"Phlox hoodii",1817,"NA","forb"
"Phlox longifolia",8333,"NA","forb"
"Phlox speciosa",14,"NA","forb"
"Phlox spp.",10,"NA","forb"
"Poa secunda","NA",14559,"grass"
"Pseudoroegneria spicata","NA",32384,"grass"
"Purshia tridentata",158,138,"shrub"
"Schoenocrambe linifolia",5,"NA","forb"
"Senecio integerrimus",233,"NA","forb"
"Sidalcea nervata",1,"NA","forb"
"Sphaeralcea munroana",21,"NA","forb"
"Symphyotrichum ascendens",4,"NA","forb"
"Taraxacum officinale",5,"NA","forb"
"Tetradymia canescens",206,341,"shrub"
"unknown",329,149,"unknown"
"unknown cactus",1,"NA","shrub"
"unknown grass","NA",37,"grass"
"unknown lichen","NA",8,"lichen"
"unknown moss","NA",15,"moss"
"unknown seedling",24,"NA","unknown"
"unknown weed",2,"NA","unknown"
"Viola beckwithii",52,"NA","forb"
"Viola praemorsa",272,"NA","forb"
"Zigadenus paniculatus",26,"NA","forb"
