"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL"
1922,"NA",8,"NA","NA","NA","NA","NA","NA","NA",2.5,"NA","NA","NA"
1923,"NA",4,"NA","NA","NA","NA","NA","NA","NA",0,3,"NA","NA"
1924,"NA","NA","NA","NA","NA","NA","NA","NA","NA",2,"NA","NA","NA"
1925,"NA","NA","NA",8,"NA","NA","NA","NA","NA","NA",0,"NA","NA"
1926,"NA","NA",3,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
1927,"NA","NA","NA",0,"NA","NA","NA","NA","NA","NA",0,0,"NA"
1928,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
1929,"NA","NA","NA","NA",0,"NA","NA",0.2,"NA","NA",0,0,"NA"
1931,"NA",5,1,0,0,"NA","NA","NA",0,0,6.7,"NA","NA"
1932,13.3,5,2.3,"NA","NA",4,"NA","NA","NA",0,4,2.5,"NA"
1933,18.3,"NA",0,"NA",2,"NA","NA","NA","NA",0,"NA","NA","NA"
1934,3,2,"NA",0,"NA","NA","NA","NA",1,"NA","NA","NA","NA"
1935,16.5,7.5,7.5,3,0.2,"NA","NA","NA","NA",1,3,13.5,"NA"
1936,17.8,1.2,1,"NA","NA","NA","NA","NA","NA","NA",1,11,"NA"
1937,14,11.9,7.2,0,"NA","NA","NA","NA","NA","NA",4.6,9.3,"NA"
1938,6.1,18,8.4,1,2,"NA","NA","NA","NA",0,3,1,"NA"
1939,13,14.2,6.7,0,"NA","NA","NA","NA","NA",0,0,9.3,"NA"
1940,11.2,13.2,4.7,"NA","NA","NA","NA","NA","NA",2,6,17,"NA"
1941,18,3.5,0,0,0,"NA","NA","NA","NA",2,2.8,12.9,"NA"
1942,11.7,11.1,3.5,2.5,1.5,"NA","NA","NA","NA",0,7,13.6,"NA"
1943,16.7,15,0,0,9,"NA","NA","NA","NA",2,0,5,"NA"
1944,11.5,29.4,13,2,"NA","NA","NA","NA","NA","NA",14.5,8.6,"NA"
1945,6.6,15.4,5.5,7.5,0,0,"NA","NA","NA","NA",9.3,13.1,"NA"
1946,13.2,14.9,10.5,0.5,"NA","NA","NA","NA","NA",2.8,7.7,6.6,"NA"
1947,12.7,5,4.5,7,"NA","NA","NA","NA","NA","NA",18,9,"NA"
1948,3.5,11.5,21.5,0,0.2,"NA","NA","NA","NA","NA",7.5,26,"NA"
1949,17.3,24,0,0,0,0,"NA","NA","NA",10.8,3.5,19.5,"NA"
1950,13,9,11.6,3.5,0.6,0,"NA","NA",3,0,0,16.5,"NA"
1951,"NA","NA",1.5,0,1,0,"NA","NA","NA",2.3,8,24.3,"NA"
1952,26,31,21.5,0,"NA","NA","NA","NA","NA","NA","NA",19.4,"NA"
1953,5.3,11.5,3.5,"NA","NA","NA","NA","NA","NA","NA",3,13.3,"NA"
1954,8.5,6,6,2,"NA","NA","NA","NA","NA",0.5,"NA","NA","NA"
1955,13,10,2.5,4.3,6.5,"NA","NA",0,"NA",0,"NA",18.5,"NA"
1956,15.3,7,4,0,0,"NA","NA","NA","NA","NA","NA",3,"NA"
1957,15.5,1.5,8,"NA","NA","NA","NA","NA",1,0,8.8,"NA","NA"
1958,6,9,"NA",4.2,"NA","NA","NA","NA","NA","NA",0.8,2.6,"NA"
1959,8.4,28.5,2.1,0.5,1.5,"NA","NA","NA",0.2,6,1.4,12,"NA"
1960,13.4,11.3,3,3,2,"NA","NA","NA","NA","NA",5,2.5,"NA"
1961,1,9,6,0,0,"NA","NA","NA",0,4,7.3,17.9,"NA"
1962,12.7,5.9,13.8,2,"NA",0,"NA","NA","NA","NA","NA",0.5,"NA"
1963,3,"NA",2,7,"NA","NA","NA","NA","NA","NA",11.4,"NA","NA"
1964,"NA","NA","NA","NA","NA","NA","NA","NA",0,0.2,8.5,23.4,"NA"
1965,20.5,0.6,0.2,2,0,"NA","NA","NA","NA","NA",3.2,7.1,"NA"
1966,7.2,7.6,1.6,0,0,0,0,0,0,0,0.3,14.6,"NA"
1967,14.6,1.2,9.3,1,0,0,0,0,0,0,6,18.4,"NA"
1968,9.1,3,3.6,"NA",0,0,0,0,0,"NA",11.1,"NA","NA"
1969,14.9,24.1,2,2,0,0,0,0,0,1,1.2,9.4,"NA"
1970,8.1,0.4,5.4,10.2,3.7,0,0,0,0,5.2,3.3,19.1,"NA"
1971,9.2,10.1,2,0,0,0,0,0,0,3.7,19.1,34.9,"NA"
1972,4.3,0.2,2,0,0,0,0,0,0,"NA","NA","NA","NA"
1973,19.5,11,3.5,0,0,0,0,0,0,0,12,11,"NA"
1974,3.2,2.1,9,0,0,0,0,0,0,8,0.5,14.7,"NA"
1975,7.8,14.4,14.5,16.5,1,0,0,0,0,5,10,16,"NA"
1976,7,4.5,3.5,4,0,1,0,0,0,0,0,0,"NA"
1977,9.7,1.5,8.5,1,2,0,0,0,0,1,2.3,10.4,"NA"
1978,12.4,11.9,2,2,0,0,0,0,4,0.5,8.8,9.3,"NA"
1979,6.5,12.1,12.1,0.8,3,0,0,0,0,0,11,6,"NA"
1980,5.7,4.5,4,0,12,0,0,0,0,0,2,7.1,"NA"
1981,15.5,3,0.5,0,1,0,0,0,0,1,5.3,12.3,"NA"
